id,nameWithOwner,url,createdAt,updatedAt,primaryLanguage,releases,pullRequests,issues,IssuesClosed,age,timeSinceLastUpdate,reasonIssuesIssuesClosed
MDEwOlJlcG9zaXRvcnk3NjkxNjMx,moby/moby,https://github.com/moby/moby,2013-01-18T18:10:57Z,2023-09-06T18:45:09Z,Go,140,18869,22115,18446,3883,0.6213888888888889,0.8340945059914086
MDEwOlJlcG9zaXRvcnkxMDcxMTE0MjE=,thedaviddias/Front-End-Checklist,https://github.com/thedaviddias/Front-End-Checklist,2017-10-16T10:12:36Z,2023-09-06T17:11:59Z,,1,173,144,143,2151,2.174166666666667,0.9930555555555556
MDEwOlJlcG9zaXRvcnkyMDY0NjI3NzY=,GrowingGit/GitHub-Chinese-Top-Charts,https://github.com/GrowingGit/GitHub-Chinese-Top-Charts,2019-09-05T03:01:56Z,2023-09-06T17:25:57Z,Java,0,0,272,153,1462,1.9413888888888888,0.5625
MDEwOlJlcG9zaXRvcnk1MDc3NzU=,elastic/elasticsearch,https://github.com/elastic/elasticsearch,2010-02-08T13:20:56Z,2023-09-06T17:23:53Z,Java,118,57266,32845,29009,4958,1.9758333333333333,0.8832090120261836
MDEwOlJlcG9zaXRvcnkxMDc0NDE4Mw==,netdata/netdata,https://github.com/netdata/netdata,2013-06-17T18:39:10Z,2023-09-06T18:18:53Z,C,69,7190,7497,7224,3733,1.0591666666666666,0.9635854341736695
MDEwOlJlcG9zaXRvcnkxODYxNDU4,hakimel/reveal.js,https://github.com/hakimel/reveal.js,2011-06-07T18:54:22Z,2023-09-06T17:21:48Z,JavaScript,40,386,2258,1597,4474,2.0105555555555554,0.7072630646589902
MDEwOlJlcG9zaXRvcnk1OTY4OTI=,pallets/flask,https://github.com/pallets/flask,2010-04-06T11:11:59Z,2023-09-06T19:12:51Z,Python,30,1516,2536,2536,4901,0.1597222222222222,1.0
MDEwOlJlcG9zaXRvcnkxNTYzNDk4MQ==,godotengine/godot,https://github.com/godotengine/godot,2014-01-04T16:05:36Z,2023-09-06T18:28:16Z,C++,49,28759,44173,35818,3532,0.9027777777777778,0.810857311027098
MDEwOlJlcG9zaXRvcnk0NDgzODk0OQ==,apple/swift,https://github.com/apple/swift,2015-10-23T21:15:07Z,2023-09-06T16:36:55Z,C++,48,44372,14019,8049,2874,2.758611111111111,0.5741493687138883
MDEwOlJlcG9zaXRvcnkzNjc4NzMx,webpack/webpack,https://github.com/webpack/webpack,2012-03-10T10:08:14Z,2023-09-06T19:11:47Z,JavaScript,405,4436,9627,9427,4197,0.1775,0.9792250960839306
